"","dtpv","date","time","district","kts","kuch","fatal","injury","driving_mode","latitude","longitude","road_cat","road_cond","weather_cond"
"57","obstacle_hit",2019-01-04,2020-06-01 23:00:00,"mosk",1,2,0,1,"open",30.316054,59.841398,"local","snow","clouds"
"58","obstacle_hit",2019-01-04,2020-06-01 23:45:00,"kirov",1,1,0,1,"open",30.28686,59.861373,"local","snow","clouds"
"59","rollover",2019-01-05,2020-06-01 00:20:00,"vyborg",1,1,0,1,"part_closed",30.336084,59.969328,"local","unknown","unknown"
"60","collision",2019-01-05,2020-06-01 00:40:00,"krasnogvard",2,3,0,1,"part_closed",30.411894,59.929216,"local","unknown","clear"
"61","off_road",2019-01-05,2020-06-01 03:20:00,"kalin",1,4,0,3,"part_closed",30.436152,60.004039,"local","unknown","unknown"
"62","obstacle_hit",2019-01-05,2020-06-01 06:50:00,"admiral",1,1,0,1,"part_closed",30.260972,59.904429,"local","snow","clear"
"63","collision",2019-01-05,2020-06-01 07:15:00,"vyborg",4,5,0,2,"part_closed",30.24475,60.108275,"local","wet","clouds"
"64","collision",2019-01-05,2020-06-01 11:40:00,"mosk",3,4,0,1,"part_closed",30.294349,59.851988,"local","snow","clouds"
"65","pedestrian_hit",2019-01-05,2020-06-01 12:00:00,"kurort",1,2,0,2,"open",29.955683,60.092198,"local","snow","clouds"
"66","collision",2019-01-05,2020-06-01 12:00:00,"kalin",2,2,0,1,"part_closed",30.379418,59.957401,"local","snow","clear"
"67","collision",2019-01-05,2020-06-01 12:35:00,"vyborg",2,5,0,4,"part_closed",30.226876,60.052856,"local","unknown","unknown"
"68","collision",2019-01-05,2020-06-01 14:45:00,"mosk",2,3,0,1,"part_closed",30.314144,59.844858,"local","snow","clouds"
"69","passenger_fall",2019-01-05,2020-06-01 15:34:00,"kurort",1,2,0,1,"open",29.964041,60.076633,"local","wet","clouds"
"70","pedestrian_hit",2019-01-05,2020-06-01 16:00:00,"petrodvorts",1,2,0,1,"open",29.770943,59.915322,"local","snow","snow"
"71","pedestrian_hit",2019-01-05,2020-06-01 16:45:00,"center",1,2,0,1,"open",30.347843,59.931329,"local","snow","clouds"
"72","collision",2019-01-05,2020-06-01 22:00:00,"nevski",3,4,0,2,"part_closed",30.488777,59.90026,"local","wet","clouds"
"73","obstacle_hit",2019-01-06,2020-06-01 02:20:00,"kalin",1,2,0,1,"part_closed",30.382873,59.966407,"local","unknown","unknown"
"74","pedestrian_hit",2019-01-06,2020-06-01 07:57:00,"mosk",1,2,0,1,"part_closed",30.319895,59.888738,"local","dry","clear"
"75","collision",2019-01-06,2020-06-01 12:55:00,"nevski",2,2,0,1,"part_closed",30.435841,59.895347,"local","unknown","clouds"
"76","pedestrian_hit",2019-01-06,2020-06-01 18:05:00,"center",1,2,0,1,"part_closed",30.357971,59.926523,"local","unknown","clouds"
"77","pedestrian_hit",2019-01-06,2020-06-01 18:20:00,"primorsk",1,2,0,1,"open",30.228388,60.017231,"local","unknown","clouds"
"78","hit_run",2019-01-06,2020-06-01 18:30:00,"mosk",2,2,0,1,"part_closed",30.345654,59.852435,"local","snow","clear"
"79","pedestrian_hit",2019-01-06,2020-06-01 19:00:00,"vyborg",1,2,0,1,"open",30.347307,60.039839,"local","unknown","snow"
"80","collision",2019-01-06,2020-06-01 22:45:00,"kalin",2,3,0,1,"part_closed",30.397711,59.971562,"local","unknown","clouds"
"81","hit_run",2019-01-06,2020-06-01 22:46:00,"frunz",2,3,0,1,"open",30.35354,59.897241,"local","unknown","clouds"
"82","collision",2019-01-07,2020-06-01 00:40:00,"vyborg",2,3,0,1,"part_closed",30.303426,60.062372,"local","unknown","clouds"
"83","pedestrian_hit",2019-01-07,2020-06-01 01:50:00,"kalin",1,2,0,1,"part_closed",30.391252,60.048341,"local","snow","clear"
"84","collision",2019-01-07,2020-06-01 07:45:00,"mosk",2,4,0,4,"part_closed",30.339818,59.90154,"local","wet","clouds"
"85","collision",2019-01-07,2020-06-01 11:20:00,"kurort",2,5,0,5,"part_closed",30.037565,60.138898,"regional","snow","snow"
"86","collision",2019-01-07,2020-06-01 12:20:00,"mosk",3,3,0,1,"part_closed",30.337415,59.855053,"local","unknown","clear"
"87","obstacle_hit",2019-01-07,2020-06-01 14:07:00,"vyborg",1,2,0,2,"part_closed",30.136871,60.069916,"private","wet","clouds"
"88","hit_run",2019-01-07,2020-06-01 16:20:00,"krasnosel",2,2,0,1,"part_closed",30.10668,59.75472,"local","wet","clouds"
"89","collision",2019-01-07,2020-06-01 16:50:00,"kirov",2,2,0,1,"part_closed",30.256315,59.851804,"local","wet","clouds"
"90","collision",2019-01-07,2020-06-01 19:57:00,"mosk",2,3,0,1,"open",30.363829,59.849843,"local","wet","clouds"
"91","collision",2019-01-07,2020-06-01 20:15:00,"petrodvorts",2,2,0,1,"part_closed",29.766362,59.910535,"local","snow","snow"
"92","collision",2019-01-07,2020-06-01 20:20:00,"kolpino",2,3,0,1,"part_closed",30.5948,59.7866,"local","wet","snow"
"93","pedestrian_hit",2019-01-07,2020-06-01 23:54:00,"kirov",1,2,0,1,"open",30.28156,59.84773,"not_specified","snow","clouds"
"94","collision",2019-01-08,2020-06-01 12:22:00,"petrograd",3,4,0,1,"part_closed",30.290669,59.952609,"local","snow","clouds"
"95","collision",2019-01-08,2020-06-01 14:10:00,"krasnosel",2,2,0,1,"part_closed",30.175753,59.83302,"local","snow","snow"
"96","collision",2019-01-08,2020-06-01 15:25:00,"krasnosel",2,2,0,1,"part_closed",30.112667,59.852074,"local","snow","clouds"
"97","obstacle_hit",2019-01-08,2020-06-01 15:45:00,"nevski",1,2,0,2,"part_closed",30.413589,59.882908,"local","wet","snow"
"98","pedestrian_hit",2019-01-08,2020-06-01 16:30:00,"krasnosel",1,2,0,1,"open",30.214398,59.859881,"local","unknown","clouds"
"99","obstacle_hit",2019-01-08,2020-06-01 17:30:00,"primorsk",1,2,0,1,"part_closed",30.08239,60.000188,"local","snow","snow"
"100","pedestrian_hit",2019-01-08,2020-06-01 18:30:00,"kirov",1,2,0,1,"open",30.271947,59.890455,"local","snow","snow"
"101","obstacle_hit",2019-01-08,2020-06-01 19:35:00,"krasnosel",2,3,0,1,"open",30.191331,59.846022,"local","snow","snow"
"102","pedestrian_hit",2019-01-08,2020-06-01 20:20:00,"primorsk",1,2,0,1,"open",30.204957,59.992763,"local","snow","clouds"
"103","collision",2019-01-08,2020-06-01 20:35:00,"kalin",4,4,0,1,"part_closed",30.349903,59.952947,"local","snow","snow"
"104","obstacle_hit",2019-01-08,2020-06-01 21:50:00,"pushkin",1,2,0,1,"open",30.408568,59.81941,"federal","wet","snow"
"105","collision",2019-01-08,2020-06-01 22:18:00,"kalin",2,3,0,1,"part_closed",30.436345,60.003369,"local","dirty","clouds"
"106","collision",2019-01-09,2020-06-01 07:00:00,"primorsk",2,3,0,1,"open",30.202875,59.988599,"local","snow","snow"
