"","dtpv","date","time","district","kts","kuch","fatal","injury","driving_mode","latitude","longitude","road_cat","road_cond","weather_cond"
"3238","Наезд на внезапно возникшее препятствие",2019-07-16,2020-06-01 18:23:00,"Петроградский район",2,3,0,1,"Движение частично перекрыто","30.312234","59.964141","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Ясно "
"3239","Столкновение",2019-07-16,2020-06-01 18:35:00,"Красносельский район",2,3,0,1,"Движение частично перекрыто","30.130091","59.777377","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Пасмурно "
"3240","Наезд на стоящее ТС",2019-07-16,2020-06-01 19:20:00,"Кировский район",2,2,0,1,"Режим движения не изменялся","30.267699","59.885508","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Ясно "
"3241","Наезд на пешехода",2019-07-16,2020-06-01 20:10:00,"Московский район",1,2,0,1,"Движение частично перекрыто","30.357199","59.863145","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Пасмурно "
"3242","Иной вид ДТП",2019-07-16,2020-06-01 22:38:00,"Петроградский район",2,2,0,1,"Режим движения не изменялся","30.301409","59.977575","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Ясно "
"3243","Столкновение",2019-07-17,2020-06-01 00:00:00,"Выборгский район",3,2,0,1,"Движение частично перекрыто","30.363818","60.054886","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Ясно","Сведения отсутствуют "
"3244","Наезд на велосипедиста",2019-07-17,2020-06-01 08:55:00,"Центральный район",2,2,0,1,"Движение частично перекрыто","30.348347","59.939509","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Ясно","Сведения отсутствуют "
"3245","Падение пассажира",2019-07-17,2020-06-01 09:00:00,"Калининский район",1,2,0,1,"Движение частично перекрыто","30.380963","60.01639","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Пасмурно","Сведения отсутствуют "
"3246","Столкновение",2019-07-17,2020-06-01 09:00:00,"Выборгский район",2,2,0,2,"Движение частично перекрыто","30.319465","60.02382","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Ясно","Сведения отсутствуют "
"3247","Столкновение",2019-07-17,2020-06-01 11:50:00,"Красносельский район",2,2,0,1,"Режим движения не изменялся","30.140229","59.838169","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Пасмурно "
"3248","Падение пассажира",2019-07-17,2020-06-01 14:00:00,"Петродворцовый район",1,2,0,1,"Режим движения не изменялся","29.814599","59.900114","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Пасмурно "
"3249","Падение пассажира",2019-07-17,2020-06-01 16:10:00,"Приморский район",1,2,0,1,"Режим движения не изменялся","30.278481","59.998589","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Мокрое","Пасмурно "
"3250","Столкновение",2019-07-17,2020-06-01 18:10:00,"Кировский район",2,2,0,1,"Движение частично перекрыто","30.271325","59.869705","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Ясно "
"3251","Столкновение",2019-07-17,2020-06-01 18:47:00,"Калининский район",2,2,0,1,"Движение частично перекрыто","30.422945","60.006737","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Ясно","Сведения отсутствуют "
"3252","Наезд на пешехода",2019-07-17,2020-06-01 19:06:00,"Адмиралтейский район",1,2,1,0,"Движение частично перекрыто","30.300272","59.906613","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Пасмурно "
"3253","Наезд на пешехода",2019-07-17,2020-06-01 19:50:00,"Центральный район",1,2,0,1,"Движение частично перекрыто","30.35913","59.945044","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Ясно "
"3254","Столкновение",2019-07-17,2020-06-01 20:45:00,"Красносельский район",2,3,0,1,"Режим движения не изменялся","30.188863","59.859304","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Пасмурно "
"3255","Падение пассажира",2019-07-17,2020-06-01 21:10:00,"Калининский район",1,2,0,1,"Движение частично перекрыто","30.365374","59.999834","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Мокрое","Ясно "
"3256","Столкновение",2019-07-17,2020-06-01 21:25:00,"Московский район",2,3,0,1,"Режим движения не изменялся","30.319691","59.879866","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Пасмурно "
"3257","Наезд на пешехода",2019-07-17,2020-06-01 21:42:00,"Московский район",1,2,0,1,"Движение частично перекрыто","30.337887","59.838918","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Пасмурно "
"3258","Столкновение",2019-07-17,2020-06-01 22:30:00,"Приморский район",2,2,0,1,"Движение частично перекрыто","30.273267","60.00619","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Пасмурно "
"3259","Наезд на велосипедиста",2019-07-17,2020-06-01 22:43:00,"Центральный район",2,2,0,1,"Движение частично перекрыто","30.3314","59.9325","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)",""," Ясно"
"3260","Столкновение",2019-07-17,2020-06-01 23:30:00,"Кировский район",2,2,0,1,"Режим движения не изменялся","30.265703","59.834983","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Ясно "
"3261","Наезд на пешехода",2019-07-18,2020-06-01 07:24:00,"Приморский район",2,3,0,1,"Режим движения не изменялся","30.303512","59.986667","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Пасмурно "
"3262","Столкновение",2019-07-18,2020-06-01 08:25:00,"Выборгский район",2,2,0,2,"Движение частично перекрыто","30.35928","59.993943","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Пасмурно","Сведения отсутствуют "
"3263","Наезд на стоящее ТС",2019-07-18,2020-06-01 09:45:00,"Московский район",2,2,0,2,"Движение частично перекрыто","30.34426","59.843198","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Пасмурно "
"3264","Наезд на пешехода",2019-07-18,2020-06-01 10:00:00,"Московский район",1,2,0,1,"Движение частично перекрыто","30.321386","59.908631","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Пасмурно "
"3265","Столкновение",2019-07-18,2020-06-01 10:00:00,"Московский район",2,2,0,2,"Движение частично перекрыто","30.298405","59.875543","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Пасмурно "
"3266","Наезд на велосипедиста",2019-07-18,2020-06-01 13:03:00,"Центральный район",2,2,0,1,"Движение частично перекрыто","30.331342","59.927157","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Дождь","Сведения отсутствуют "
"3267","Наезд на пешехода",2019-07-18,2020-06-01 13:10:00,"Приморский район",1,2,0,1,"Режим движения не изменялся","30.262291","60.00494","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Мокрое","Дождь "
"3268","Наезд на стоящее ТС",2019-07-18,2020-06-01 13:40:00,"Калининский район",2,2,0,1,"Движение частично перекрыто","30.389074","60.015006","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Дождь","Сведения отсутствуют "
"3269","Наезд на пешехода",2019-07-18,2020-06-01 14:00:00,"Выборгский район",1,2,0,1,"Режим движения не изменялся","30.328209","60.052926","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Ясно "
"3270","Наезд на пешехода",2019-07-18,2020-06-01 14:00:00,"Калининский район",1,2,0,1,"Режим движения не изменялся","30.383795","59.999292","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Ясно "
"3271","Столкновение",2019-07-18,2020-06-01 14:00:00,"Калининский район",2,2,0,1,"Движение частично перекрыто","30.38372","60.025305","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)",""," Дождь"
"3272","Столкновение",2019-07-18,2020-06-01 14:05:00,"Кировский район",2,2,0,1,"Движение частично перекрыто","30.267076","59.851923","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Мокрое","Дождь "
"3273","Столкновение",2019-07-18,2020-06-01 15:50:00,"Кировский район",2,3,0,1,"Движение частично перекрыто","30.279307","59.895557","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Мокрое","Пасмурно "
"3274","Столкновение",2019-07-18,2020-06-01 16:05:00,"Выборгский район",4,5,0,1,"Движение частично перекрыто","30.294693","60.068481","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Дождь","Сведения отсутствуют "
"3275","Столкновение",2019-07-18,2020-06-01 16:40:00,"Центральный район",2,2,0,1,"Движение частично перекрыто","30.398312","59.942696","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)",""," Дождь"
"3276","Наезд на препятствие",2019-07-18,2020-06-01 16:57:00,"Кировский район",1,1,0,1,"Движение частично перекрыто","30.273385","59.883188","Частная (дорога, относящиеся к частной и иным формам собственности)","Мокрое","Дождь "
"3277","Столкновение",2019-07-18,2020-06-01 17:00:00,"Калининский район",2,2,0,1,"Движение частично перекрыто","30.409212","60.011038","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Пасмурно","Сведения отсутствуют "
"3278","Наезд на пешехода",2019-07-18,2020-06-01 18:10:00,"Выборгский район",1,2,0,1,"Режим движения не изменялся","30.307138","60.058501","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Ясно "
"3279","Наезд на препятствие",2019-07-18,2020-06-01 18:17:00,"Петродворцовый район",1,1,0,1,"Режим движения не изменялся","29.66712","59.925598","Федеральная (дорога федерального значения)","Мокрое","Дождь "
"3280","Съезд с дороги",2019-07-18,2020-06-01 18:20:00,"Курортный район",1,1,0,1,"Режим движения не изменялся","29.606566","60.197158","Региональная или межмуниципальная (дорога регионального или межмуниципального значения)","Мокрое","Дождь "
"3281","Наезд на пешехода",2019-07-18,2020-06-01 19:20:00,"Василеостровский район",2,2,0,1,"Режим движения не изменялся","30.216866","59.962959","Частная (дорога, относящиеся к частной и иным формам собственности)","Мокрое","Пасмурно Дождь"
"3282","Столкновение",2019-07-18,2020-06-01 20:10:00,"Кировский район",2,2,0,1,"Движение частично перекрыто","30.204624","59.82724","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Мокрое","Дождь "
"3283","Столкновение",2019-07-18,2020-06-01 20:15:00,"Московский район",3,4,0,1,"Движение частично перекрыто","30.318747","59.818892","Не указано","Мокрое","Пасмурно "
"3284","Наезд на пешехода",2019-07-18,2020-06-01 21:22:00,"Фрунзенский район",1,2,0,1,"Режим движения не изменялся","30.404513","59.873017","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Мокрое","Дождь "
"3285","Наезд на пешехода",2019-07-18,2020-06-01 22:13:00,"Центральный район",1,2,0,1,"Движение частично перекрыто","30.347736","59.930184","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)",""," Дождь"
"3286","Столкновение",2019-07-18,2020-06-01 22:30:00,"Московский район",2,2,0,2,"Режим движения не изменялся","30.342307","59.894362","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Мокрое","Пасмурно "
"3287","Столкновение",2019-07-19,2020-06-01 03:00:00,"Невский район",2,2,0,1,"Режим движения не изменялся","30.444961","59.875586","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Мокрое","Дождь "
"3288","Столкновение",2019-07-19,2020-06-01 06:30:00,"Красносельский район",2,3,0,1,"Режим движения не изменялся","30.15613","59.799209","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Мокрое","Пасмурно "
"3289","Наезд на пешехода",2019-07-19,2020-06-01 07:10:00,"Калининский район",1,2,0,1,"Движение частично перекрыто","30.407957","59.96144","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Мокрое","Пасмурно "
"3290","Наезд на пешехода",2019-07-19,2020-06-01 08:20:00,"Выборгский район",1,2,0,1,"Режим движения не изменялся","30.332158","60.053242","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Ясно "
